	obj
structure_determination.[].microscopy.[].tilt_list.angle	multi
structure_determination.[].microscopy.[].tilt_series	obj
structure_determination.[].microscopy.[].tilt_series.axis1	obj
structure_determination.[].preparation	multi
structure_determination.[].preparation.[]	obj
structure_determination.[].preparation.[].buffer	obj
structure_determination.[].preparation.[].buffer.component	multi
structure_determination.[].preparation.[].buffer.component.[]	obj
structure_determination.[].preparation.[].crystal_formation	obj
structure_determination.[].preparation.[].fiducial_markers_list	obj
structure_determination.[].preparation.[].fiducial_markers_list.fiducial_marker	multi
structure_determination.[].preparation.[].fiducial_markers_list.fiducial_marker.[]	obj
structure_determination.[].preparation.[].grid	obj
structure_determination.[].preparation.[].grid.pretreatment	obj
structure_determination.[].preparation.[].grid.support_film	multi
structure_determination.[].preparation.[].grid.support_film.[]	obj
structure_determination.[].preparation.[].high_pressure_freezing	obj
structure_determination.[].preparation.[].sectioning	obj
structure_determination.[].preparation.[].sectioning.focused_ion_beam	obj
structure_determination.[].preparation.[].sectioning.ultramicrotomy	obj
structure_determination.[].preparation.[].staining	obj
structure_determination.[].preparation.[].sugar_embedding	obj
structure_determination.[].preparation.[].vitrification	obj
structure_determination.[].processing	multi
structure_determination.[].processing.[]	obj
structure_determination.[].processing.[].crystal_parameters	obj
structure_determination.[].processing.[].crystal_parameters.unit_cell	obj
structure_determination.[].processing.[].crystallography_statistics	obj
structure_determination.[].processing.[].crystallography_statistics.shell_list	obj
structure_determination.[].processing.[].crystallography_statistics.shell_list.shell	multi
structure_determination.[].processing.[].crystallography_statistics.shell_list.shell.[]	obj
structure_determination.[].processing.[].ctf_correction	obj
structure_determination.[].processing.[].ctf_correction.software	multi
structure_determination.[].processing.[].ctf_correction.software.[]	obj
structure_determination.[].processing.[].extraction	obj
structure_determination.[].processing.[].extraction.software	multi
structure_determination.[].processing.[].extraction.software.[]	obj
structure_determination.[].processing.[].final_angle_assignment	obj
structure_determination.[].processing.[].final_angle_assignment.projection_matching_processing	obj
structure_determination.[].processing.[].final_angle_assignment.software	multi
structure_determination.[].processing.[].final_angle_assignment.software.[]	obj
structure_determination.[].processing.[].final_reconstruction	obj
structure_determination.[].processing.[].final_reconstruction.applied_symmetry	obj
structure_determination.[].processing.[].final_reconstruction.applied_symmetry.helical_parameters	obj
structure_determination.[].processing.[].final_reconstruction.software	multi
structure_determination.[].processing.[].final_reconstruction.software.[]	obj
structure_determination.[].processing.[].final_three_d_classification	obj
structure_determination.[].processing.[].final_three_d_classification.software	multi
structure_determination.[].processing.[].final_three_d_classification.software.[]	obj
structure_determination.[].processing.[].final_two_d_classification	obj
structure_determination.[].processing.[].initial_angle_assignment	obj
structure_determination.[].processing.[].initial_angle_assignment.projection_matching_processing	obj
structure_determination.[].processing.[].initial_angle_assignment.software	multi
structure_determination.[].processing.[].initial_angle_assignment.software.[]	obj
structure_determination.[].processing.[].merging_software_list	obj
structure_determination.[].processing.[].merging_software_list.software	single
structure_determination.[].processing.[].merging_software_list.software.[]	obj
structure_determination.[].processing.[].molecular_replacement	obj
structure_determination.[].processing.[].molecular_replacement.software	single
structure_determination.[].processing.[].molecular_replacement.software.[]	obj
structure_determination.[].processing.[].particle_selection	obj
structure_determination.[].processing.[].segment_selection	obj
structure_determination.[].processing.[].segment_selection.software	multi
structure_determination.[].processing.[].segment_selection.software.[]	obj
structure_determination.[].processing.[].startup_model	multi
structure_determination.[].processing.[].startup_model.[]	obj
structure_determination.[].processing.[].startup_model.[].orthogonal_tilt	obj
structure_determination.[].processing.[].startup_model.[].pdb_model	obj
structure_determination.[].processing.[].startup_model.[].random_conical_tilt	obj
structure_determination.[].processing.[].symmetry_determination_software_list	obj
structure_determination.[].processing.[].symmetry_determination_software_list.software	single
structure_determination.[].processing.[].symmetry_determination_software_list.software.[]	obj
validation	obj
validation.fsc_curve	multi
validation.fsc_curve.[]	obj
